101,Ramya,45,67,89
102,Anu,30,55,60
103,Ravi,40,28,35
104,Sita,90,88,92
105,Kiran,20,30,40
106,Priya,65,70,72
107,Arjun,33,34,35
108,Neha,25,60,70
109,Vikram,80,22,75
110,Pooja,55,58,60
111,Suresh,32,35,40
112,Divya,90,91,92
113,Manoj,45,30,80
114,Kavya,70,72,28
115,Amit,60,65,70
116,Rekha,10,90,95
117,Rahul,34,33,32
118,Sneha,88,86,84
119,Nikhil,29,31,35
120,Swathi,66,67,68
121,Varun,40,41,42
122,Meena,22,55,60
123,Akash,75,76,77
124,Bhavana,33,33,33
125,Prakash,50,20,60
126,Sunita,90,45,30
127,Rohit,28,35,36
128,Anjali,85,87,89
129,Deepak,60,61,62
130,Latha,31,70,72
